rule,side,target_c,trades,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,settle_win_rate,touch_ema_after_entry,avg_entry_minute,avg_signal_ext_bps,avg_entry_ext_bps,avg_further_ext_bps,yes_share,table
ext40bps_further0bps_entry22c,NO,60,71,0.04225352112676056,0.36666666666666664,-19.464788732394368,-22.0,"-22.00,-18.67,-18.67,-18.47",0,9,-22.0,0.028169014084507043,0.014084507042253521,5.915492957746479,48.96311180559422,51.16685277024163,2.2037409646474098,0.0,rule_side
ext40bps_further0bps_entry22c,NO,65,71,0.04225352112676056,0.3384615384615385,-19.253521126760564,-22.0,"-22.00,-18.39,-18.39,-18.18",0,9,-22.0,0.028169014084507043,0.014084507042253521,5.915492957746479,48.96311180559422,51.16685277024163,2.2037409646474098,0.0,rule_side
ext40bps_further0bps_entry22c,NO,70,71,0.04225352112676056,0.3142857142857143,-19.04225352112676,-22.0,"-22.00,-18.11,-18.11,-17.88",0,9,-22.0,0.028169014084507043,0.014084507042253521,5.915492957746479,48.96311180559422,51.16685277024163,2.2037409646474098,0.0,rule_side
ext40bps_further0bps_entry22c,NO,75,71,0.04225352112676056,0.29333333333333333,-18.830985915492956,-22.0,"-22.00,-17.83,-17.83,-17.59",0,9,-22.0,0.028169014084507043,0.014084507042253521,5.915492957746479,48.96311180559422,51.16685277024163,2.2037409646474098,0.0,rule_side
ext40bps_further0bps_entry22c,NO,80,71,0.028169014084507043,0.275,-19.746478873239436,-22.0,"-22.00,-17.56,-17.56,-22.00",0,9,-22.0,0.028169014084507043,0.014084507042253521,5.915492957746479,48.96311180559422,51.16685277024163,2.2037409646474098,0.0,rule_side
ext40bps_further0bps_entry22c,NO,85,71,0.028169014084507043,0.25882352941176473,-19.6056338028169,-22.0,"-22.00,-17.28,-17.28,-22.00",0,9,-22.0,0.028169014084507043,0.014084507042253521,5.915492957746479,48.96311180559422,51.16685277024163,2.2037409646474098,0.0,rule_side
ext40bps_further0bps_entry22c,NO,99,71,0.028169014084507043,0.2222222222222222,-19.211267605633804,-22.0,"-22.00,-16.50,-16.50,-22.00",0,9,-22.0,0.028169014084507043,0.014084507042253521,5.915492957746479,48.96311180559422,51.16685277024163,2.2037409646474098,0.0,rule_side
ext40bps_further0bps_entry22c,YES,45,54,0.05555555555555555,0.4888888888888889,-19.5,-22.0,"-15.57,-22.00,-22.00,-18.54",0,9,-22.0,0.037037037037037035,0.037037037037037035,5.351851851851852,51.400245449495685,51.63295856296007,0.2327131134643856,1.0,rule_side
ext40bps_further0bps_entry22c,YES,50,54,0.05555555555555555,0.44,-19.22222222222222,-22.0,"-14.86,-22.00,-22.00,-18.15",0,9,-22.0,0.037037037037037035,0.037037037037037035,5.351851851851852,51.400245449495685,51.63295856296007,0.2327131134643856,1.0,rule_side
ext40bps_further0bps_entry22c,YES,55,54,0.05555555555555555,0.4,-18.944444444444443,-22.0,"-14.14,-22.00,-22.00,-17.77",0,9,-22.0,0.037037037037037035,0.037037037037037035,5.351851851851852,51.400245449495685,51.63295856296007,0.2327131134643856,1.0,rule_side
