rule,side,btc_signed_bin,early_low_bin,target_c,trades,avg_entry_c,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,median_entry_minute
low<=25_close40-65_green,NO,flat,15-20,70,99,48.61616161616162,0.6262626262626263,0.6945165945165945,-4.777777777777778,-9.319999999999999,"-3.24,-2.88,-3.63,-9.32",2,10,-16.466666666666665,7.0
low<=25_close40-65_green,NO,flat,15-20,80,99,48.61616161616162,0.5050505050505051,0.6077020202020202,-8.212121212121213,-10.708333333333336,"-6.04,-9.28,-10.71,-6.92",2,10,-23.133333333333333,7.0
low<=25_close40-65_green,NO,flat,15-20,85,99,48.61616161616162,0.48484848484848486,0.5719548425430778,-7.404040404040404,-10.28,"-3.24,-10.28,-8.42,-7.72",3,10,-21.8,7.0
low<=25_close40-65_green,NO,flat,15-20,90,99,48.61616161616162,0.46464646464646464,0.5401795735129069,-6.797979797979798,-11.68,"-0.44,-11.68,-9.88,-5.32",4,10,-20.466666666666665,7.0
low<=25_close40-65_green,NO,flat,15-20,99,99,48.61616161616162,0.4444444444444444,0.4910723395571881,-4.616161616161616,-12.04,"0.64,-12.04,-6.13,-1.00",4,10,-18.066666666666666,7.0
low<=25_close40-65_green,NO,flat,20-25,60,118,49.11864406779661,0.7542372881355932,0.8186440677966101,-3.8644067796610178,-7.724137931034486,"-1.60,-7.72,-4.55,-1.73",3,10,-15.230769230769228,7.0
low<=25_close40-65_green,NO,flat,20-25,70,118,49.11864406779661,0.7033898305084746,0.7016949152542372,0.11864406779660969,-8.068965517241383,"6.40,-8.07,0.28,1.60",6,10,-15.230769230769228,7.0
low<=25_close40-65_green,NO,flat,20-25,80,118,49.11864406779661,0.6186440677966102,0.6139830508474576,0.3728813559322019,-7.724137931034486,"9.07,-7.72,-1.10,0.93",6,10,-16.769230769230766,7.0
low<=25_close40-65_green,NO,flat,20-25,85,118,49.11864406779661,0.5847457627118644,0.5778664007976072,0.5847457627118627,-11.000000000000004,"9.90,-11.00,-1.10,4.10",5,10,-14.846153846153843,7.0
low<=25_close40-65_green,NO,flat,20-25,90,118,49.11864406779661,0.5423728813559322,0.5457627118644067,-0.30508474576271233,-8.758620689655176,"10.40,-8.76,-4.55,1.27",5,10,-26.76923076923077,7.0
low<=25_close40-65_green,NO,flat,20-25,99,118,49.11864406779661,0.4830508474576271,0.4961479198767334,-1.2966101694915255,-8.137931034482762,"9.80,-8.14,-3.62,-3.53",5,10,-24.692307692307693,7.0
