rule,side,btc_signed_bin,early_low_bin,trades,hit85,avg_entry_c,avg_pnl85_c,median_entry_minute
low<=40_close45-65_green,NO,against>75,30-35,3,0.6666666666666666,52.0,4.666666666666664,8.0
low<=35_close40-65_green,YES,against25-75,30-35,51,0.6274509803921569,48.72549019607843,4.607843137254902,7.0
low<=40_close40-65_green,YES,against25-75,30-35,51,0.6274509803921569,48.72549019607843,4.607843137254902,7.0
low<=25_close45-65_green,YES,against25-75,20-25,36,0.6666666666666666,52.19444444444444,4.472222222222223,8.0
low<=30_close45-65_green,YES,against25-75,20-25,36,0.6666666666666666,52.19444444444444,4.472222222222223,8.0
low<=35_close45-65_green,YES,against25-75,20-25,36,0.6666666666666666,52.19444444444444,4.472222222222223,8.0
low<=40_close45-65_green,YES,against25-75,20-25,36,0.6666666666666666,52.19444444444444,4.472222222222223,8.0
low<=40_close45-65_green,NO,against25-75,35+,42,0.6904761904761905,54.357142857142854,4.33333333333333,7.0
low<=25_close45-65_green,NO,flat,20-25,92,0.6739130434782609,52.97826086956522,4.304347826086954,7.0
low<=30_close45-65_green,NO,flat,20-25,92,0.6739130434782609,52.97826086956522,4.304347826086954,7.0
low<=35_close45-65_green,NO,flat,20-25,92,0.6739130434782609,52.97826086956522,4.304347826086954,7.0
low<=40_close45-65_green,NO,flat,20-25,92,0.6739130434782609,52.97826086956522,4.304347826086954,7.0
low<=35_close55-75_green,YES,with25-75,30-35,75,0.8266666666666667,66.01333333333334,4.253333333333333,6.0
low<=40_close55-75_green,YES,with25-75,30-35,75,0.8266666666666667,66.01333333333334,4.253333333333333,6.0
low<=25_close50-70_green,YES,flat,20-25,112,0.7232142857142857,57.392857142857146,4.080357142857143,7.0
low<=30_close50-70_green,YES,flat,20-25,112,0.7232142857142857,57.392857142857146,4.080357142857143,7.0
low<=35_close50-70_green,YES,flat,20-25,112,0.7232142857142857,57.392857142857146,4.080357142857143,7.0
low<=40_close50-70_green,YES,flat,20-25,112,0.7232142857142857,57.392857142857146,4.080357142857143,7.0
low<=30_close40-65_green,YES,against25-75,25-30,68,0.6323529411764706,49.705882352941174,4.044117647058823,7.0
low<=35_close40-65_green,YES,against25-75,25-30,68,0.6323529411764706,49.705882352941174,4.044117647058823,7.0
low<=40_close40-65_green,YES,against25-75,25-30,68,0.6323529411764706,49.705882352941174,4.044117647058823,7.0
low<=40_close55-75_green,NO,with25-75,35+,71,0.8450704225352113,67.8169014084507,4.014084507042254,6.0
low<=20_close50-70_green,NO,with25-75,15-20,29,0.7241379310344828,57.793103448275865,3.7586206896551713,6.0
low<=25_close50-70_green,NO,with25-75,15-20,29,0.7241379310344828,57.793103448275865,3.7586206896551713,6.0
low<=30_close50-70_green,NO,with25-75,15-20,29,0.7241379310344828,57.793103448275865,3.7586206896551713,6.0
low<=35_close50-70_green,NO,with25-75,15-20,29,0.7241379310344828,57.793103448275865,3.7586206896551713,6.0
low<=40_close50-70_green,NO,with25-75,15-20,29,0.7241379310344828,57.793103448275865,3.7586206896551713,6.0
low<=25_close55-75_green,YES,flat,20-25,101,0.7722772277227723,62.20792079207921,3.4356435643564356,7.0
low<=30_close55-75_green,YES,flat,20-25,101,0.7722772277227723,62.20792079207921,3.4356435643564356,7.0
low<=35_close55-75_green,YES,flat,20-25,101,0.7722772277227723,62.20792079207921,3.4356435643564356,7.0
low<=40_close55-75_green,YES,flat,20-25,101,0.7722772277227723,62.20792079207921,3.4356435643564356,7.0
low<=25_close45-65_green,YES,flat,20-25,124,0.6693548387096774,53.45967741935484,3.435483870967742,7.0
low<=30_close45-65_green,YES,flat,20-25,124,0.6693548387096774,53.45967741935484,3.435483870967742,7.0
low<=35_close45-65_green,YES,flat,20-25,124,0.6693548387096774,53.45967741935484,3.435483870967742,7.0
