side_filter,entry_c,target_c,gross_win_c,loss_c,breakeven_hit_rate,trades,hit_rate,edge_vs_breakeven,avg_pnl_c,total_pnl_c,median_fill_minute,avg_spread_at_fill_c,median_spread_at_fill_c,min_quartile_ev_c,quartile_ev_c,quartile_hit_rate,positive_weeks,weeks,min_week_ev_c
BOTH,33,49,16,33,0.673469387755102,8386,0.6163844502742666,-0.05708493748083543,-2.797161936560935,-23457,3.0,1.0278917243024086,1.0000000000000009,-2.9594465648854964,"-2.95,-2.38,-2.96,-2.90","0.613,0.625,0.613,0.614",0,10,-4.009280742459397
BOTH,33,50,17,33,0.66,8386,0.6064870021464346,-0.05351299785356545,-2.6756498926782735,-22438,3.0,1.0278917243024086,1.0000000000000009,-2.895038167938931,"-2.79,-2.16,-2.90,-2.86","0.604,0.617,0.602,0.603",0,10,-3.9396751740139213
BOTH,33,51,18,33,0.6470588235294118,8386,0.5981397567374195,-0.048919066791992316,-2.4948724063916052,-20922,3.0,1.0278917243024086,1.0000000000000009,-2.7939914163090127,"-2.58,-1.95,-2.66,-2.79","0.597,0.609,0.595,0.592",0,10,-3.7134570765661254
BOTH,33,52,19,33,0.6346153846153846,8386,0.5876460767946577,-0.046969307820726836,-2.4424040066777963,-20482,3.0,1.0278917243024086,1.0000000000000009,-2.6583969465648853,"-2.55,-1.96,-2.66,-2.60","0.586,0.597,0.583,0.585",0,10,-3.74245939675174
BOTH,33,53,20,33,0.6226415094339622,8386,0.5758406868590508,-0.04680082257491147,-2.4804435964703075,-20801,3.0,1.0278917243024086,1.0000000000000009,-2.782919847328244,"-2.60,-2.07,-2.78,-2.47","0.574,0.583,0.570,0.576",0,10,-3.7946635730858467
BOTH,33,54,21,33,0.6111111111111112,8386,0.5665394705461484,-0.04457164056496277,-2.4068685905079894,-20184,3.0,1.0278917243024086,1.0000000000000009,-2.7280534351145036,"-2.41,-1.88,-2.73,-2.61","0.567,0.576,0.561,0.563",0,10,-3.8074245939675175
BOTH,33,55,22,33,0.6,8386,0.5559265442404007,-0.04407345575959931,-2.4240400667779634,-20328,3.0,1.0278917243024086,1.0000000000000009,-2.811635670004769,"-2.44,-1.75,-2.69,-2.81","0.556,0.568,0.551,0.549",0,10,-3.8410672853828305
BOTH,33,56,23,33,0.5892857142857143,8386,0.5459098497495827,-0.043375864536131625,-2.4290484140233723,-20370,3.0,1.0278917243024086,1.0000000000000009,-2.8235574630424414,"-2.40,-1.82,-2.68,-2.82","0.546,0.557,0.542,0.539",0,10,-3.765661252900232
BOTH,33,57,24,33,0.5789473684210527,8386,0.5337467207250179,-0.04520064769603471,-2.5764369186739806,-21606,3.0,1.0278917243024086,1.0000000000000009,-3.0314885496183206,"-2.42,-2.03,-3.03,-2.83","0.536,0.543,0.526,0.529",0,10,-3.574245939675174
BOTH,33,58,25,33,0.5689655172413793,8386,0.525280228953017,-0.04368528828836238,-2.5337467207250177,-21248,3.0,1.0278917243024086,1.0000000000000009,-2.9351454458750594,"-2.19,-2.15,-2.87,-2.94","0.531,0.532,0.520,0.518",0,10,-3.5039908779931586
BOTH,33,59,26,33,0.559322033898305,8386,0.5214643453374672,-0.03785768856083782,-2.233603625089435,-18731,3.0,1.0278917243024086,1.0000000000000009,-2.6700047687172153,"-1.88,-1.84,-2.54,-2.67","0.527,0.528,0.516,0.514",0,10,-3.264538198403649
BOTH,33,60,27,33,0.55,8386,0.511805389935607,-0.038194610064393064,-2.291676603863582,-19218,3.0,1.0278917243024086,1.0000000000000009,-2.728183118741059,"-1.98,-1.83,-2.63,-2.73","0.517,0.520,0.506,0.505",0,10,-3.2394526795895096
BOTH,33,61,28,33,0.5409836065573771,8386,0.5054853326973527,-0.035498273860024354,-2.1653947054614835,-18159,3.0,1.0278917243024086,1.0000000000000009,-2.674618320610687,"-1.96,-1.57,-2.67,-2.46","0.509,0.515,0.497,0.501",0,10,-3.2784222737819024
BOTH,33,62,29,33,0.532258064516129,8386,0.4977343191032674,-0.03452374541286163,-2.1404722155974243,-17950,3.0,1.0278917243024086,1.0000000000000009,-2.650763358778626,"-2.01,-1.44,-2.65,-2.46","0.500,0.509,0.490,0.493",0,10,-3.4385150812064964
BOTH,33,63,30,33,0.5238095238095238,8386,0.4904602909611257,-0.033349232848398136,-2.1010016694490816,-17619,3.0,1.0278917243024086,1.0000000000000009,-2.552003816793893,"-2.09,-1.35,-2.55,-2.42","0.491,0.502,0.483,0.485",0,10,-3.546403712296984
BOTH,33,64,31,33,0.515625,8386,0.48354400190794183,-0.032080998092058166,-2.0531838778917244,-17218,3.0,1.0278917243024086,1.0000000000000009,-2.5572519083969465,"-2.02,-1.37,-2.56,-2.27","0.484,0.494,0.476,0.480",0,10,-3.7470997679814384
BOTH,33,65,32,33,0.5076923076923077,8386,0.4755544955878846,-0.03213781210442307,-2.088957786787503,-17518,3.0,1.0278917243024086,1.0000000000000009,-2.6087786259541983,"-2.13,-1.37,-2.61,-2.25","0.475,0.487,0.468,0.473",0,10,-3.968677494199536
BOTH,33,66,33,33,0.5,8386,0.4689959456236585,-0.031004054376341517,-2.0462675888385404,-17160,3.0,1.0278917243024086,1.0000000000000009,-2.676526717557252,"-2.03,-1.48,-2.68,-2.00","0.469,0.478,0.459,0.470",0,10,-3.7517401392111367
BOTH,33,67,34,33,0.4925373134328358,8386,0.466491772000954,-0.026045541431881813,-1.745051275936084,-14634,3.0,1.0278917243024086,1.0000000000000009,-2.2810114503816794,"-1.85,-1.23,-2.28,-1.62","0.465,0.474,0.458,0.468",0,10,-3.6194895591647334
BOTH,33,68,35,33,0.4852941176470588,8386,0.4612449320295731,-0.024049185617485702,-1.6353446219890293,-13714,3.0,1.0278917243024086,1.0000000000000009,-2.1469465648854964,"-1.80,-0.98,-2.15,-1.61","0.459,0.471,0.454,0.462",0,10,-3.9698375870069604
BOTH,33,69,36,33,0.4782608695652174,8386,0.4533746720725018,-0.02488619749271559,-1.7171476269973767,-14400,3.0,1.0278917243024086,1.0000000000000009,-2.2857824427480917,"-1.94,-1.10,-2.29,-1.54","0.450,0.462,0.445,0.456",0,10,-3.863109048723898
BOTH,33,70,37,33,0.4714285714285714,8386,0.44669687574528977,-0.02473169568328165,-1.7312186978297162,-14518,3.0,1.0278917243024086,1.0000000000000009,-2.3416030534351147,"-1.86,-1.17,-2.34,-1.56","0.445,0.455,0.438,0.449",0,10,-3.6844547563805103
BOTH,34,35,1,34,0.9714285714285714,8574,0.8313505948215535,-0.14007797660701793,-4.902729181245626,-42036,3.0,1.0285747609050617,1.0000000000000009,-5.189920671955203,"-5.19,-4.77,-5.19,-4.47","0.823,0.835,0.823,0.844",0,10,-5.493212669683258
BOTH,34,36,2,34,0.9444444444444444,8574,0.8173547935619314,-0.127089650882513,-4.575227431770469,-39228,3.0,1.0285747609050617,1.0000000000000009,-4.887540830611292,"-4.75,-4.50,-4.89,-4.16","0.812,0.819,0.809,0.829",0,10,-5.110102156640181
BOTH,34,37,3,34,0.918918918918919,8574,0.8020760438535106,-0.11684287506540836,-4.323186377420107,-37067,3.0,1.0285747609050617,1.0000000000000009,-4.59682687820812,"-4.58,-4.13,-4.60,-3.99","0.795,0.807,0.795,0.811",0,10,-4.994343891402715
BOTH,34,38,4,34,0.8947368421052632,8574,0.7876137158852344,-0.10712312622002873,-4.070678796361092,-34902,3.0,1.0285747609050617,1.0000000000000009,-4.369575361642557,"-4.35,-3.84,-4.37,-3.73","0.780,0.794,0.780,0.797",0,10,-4.726244343891403
BOTH,34,39,5,34,0.8717948717948718,8574,0.7690692792162351,-0.10272559257863667,-4.00629811056683,-34350,3.0,1.0285747609050617,1.0000000000000009,-4.299580027998133,"-4.11,-3.75,-4.30,-3.86","0.766,0.776,0.762,0.773",0,10,-4.573529411764706
BOTH,34,40,6,34,0.85,8574,0.7521576860275251,-0.09784231397247489,-3.913692558898997,-33556,3.0,1.0285747609050617,1.0000000000000009,-4.24731684554363,"-3.93,-3.82,-4.25,-3.66","0.752,0.755,0.744,0.758",0,10,-4.512249443207127
BOTH,34,41,7,34,0.8292682926829268,8574,0.7373454630277584,-0.0919228296551684,-3.768836015861908,-32314,3.0,1.0285747609050617,1.0000000000000009,-4.134857676154923,"-3.80,-3.71,-4.13,-3.42","0.736,0.739,0.728,0.746",0,10,-4.409502262443439
BOTH,34,42,8,34,0.8095238095238095,8574,0.7226498717051552,-0.08687393781865438,-3.648705388383485,-31284,3.0,1.0285747609050617,1.0000000000000009,-3.994400373308446,"-3.71,-3.39,-3.99,-3.50","0.721,0.729,0.714,0.726",0,10,-4.352941176470588
BOTH,34,43,9,34,0.7906976744186046,8574,0.7100536505714952,-0.08064402384710945,-3.4676930254257057,-29732,3.0,1.0285747609050617,1.0000000000000009,-3.6612225851609894,"-3.49,-3.24,-3.66,-3.47","0.709,0.715,0.706,0.710",0,10,-4.216035634743875
BOTH,34,44,10,34,0.7727272727272727,8574,0.6903428971308607,-0.08238437559641199,-3.6249125262421273,-31080,3.0,1.0285747609050617,1.0000000000000009,-3.8526119402985075,"-3.85,-3.35,-3.72,-3.59","0.685,0.697,0.688,0.691",0,10,-4.221258134490238
BOTH,34,45,11,34,0.7555555555555555,8574,0.6776300443200374,-0.07792551123551816,-3.5066480055983207,-30066,3.0,1.0285747609050617,1.0000000000000009,-3.7761194029850746,"-3.78,-3.22,-3.57,-3.46","0.672,0.684,0.676,0.679",0,10,-4.220588235294118
BOTH,34,46,12,34,0.7391304347826086,8574,0.6730814089106602,-0.0660490258719485,-3.0382551901096337,-26050,3.0,1.0285747609050617,1.0000000000000009,-3.2761194029850746,"-3.28,-2.75,-3.20,-2.93","0.668,0.679,0.670,0.675",0,10,-3.766968325791855
BOTH,34,47,13,34,0.723404255319149,8574,0.6609517144856543,-0.06245254083349472,-2.9352694191742477,-25167,3.0,1.0285747609050617,1.0000000000000009,-3.1343283582089554,"-3.13,-2.59,-3.08,-2.94","0.657,0.668,0.658,0.661",0,10,-3.747737556561086
BOTH,34,48,14,34,0.7083333333333334,8574,0.6475390716118498,-0.06079426172148361,-2.9181245626312107,-25020,3.0,1.0285747609050617,1.0000000000000009,-3.090060662622492,"-3.01,-2.51,-3.09,-3.06","0.646,0.656,0.644,0.645",0,10,-3.7013574660633486
BOTH,34,49,15,34,0.6938775510204082,8574,0.6348262188010264,-0.05905133221938175,-2.8935152787497085,-24809,3.0,1.0285747609050617,1.0000000000000009,-3.237873134328358,"-2.96,-2.31,-3.06,-3.24","0.633,0.647,0.631,0.628",0,10,-3.854710556186152
BOTH,34,50,16,34,0.68,8574,0.6240961045019827,-0.05590389549801733,-2.795194774900863,-23966,3.0,1.0285747609050617,1.0000000000000009,-3.1930970149253732,"-2.82,-2.11,-3.06,-3.19","0.624,0.638,0.619,0.616",0,10,-3.977298524404086
BOTH,34,51,17,34,0.6666666666666666,8574,0.6153487287147189,-0.05131793795194772,-2.617214835549335,-22440,3.0,1.0285747609050617,1.0000000000000009,-3.1240671641791047,"-2.62,-1.90,-2.82,-3.12","0.615,0.629,0.611,0.605",0,10,-3.782065834279228
BOTH,34,52,18,34,0.6538461538461539,8574,0.6047352460928388,-0.04911090775331506,-2.5537672031723817,-21896,3.0,1.0285747609050617,1.0000000000000009,-2.9309701492537314,"-2.59,-1.87,-2.82,-2.93","0.604,0.618,0.600,0.597",0,10,-3.6617480136208855
BOTH,34,53,19,34,0.6415094339622641,8574,0.5928388150221601,-0.04867061894010405,-2.579542803825519,-22117,3.0,1.0285747609050617,1.0000000000000009,-2.9617358842743817,"-2.61,-1.92,-2.96,-2.83","0.592,0.605,0.586,0.588",0,10,-3.6029411764705883
BOTH,34,54,20,34,0.6296296296296297,8574,0.5825752274317705,-0.04705440219785917,-2.5409377186843947,-21786,3.0,1.0285747609050617,1.0000000000000009,-2.9556696220251983,"-2.52,-1.75,-2.96,-2.94","0.583,0.597,0.575,0.575",0,10,-3.762443438914027
BOTH,34,55,21,34,0.6181818181818182,8574,0.5717284814555633,-0.046453336726254846,-2.554933519944017,-21906,3.0,1.0285747609050617,1.0000000000000009,-3.1394589552238807,"-2.60,-1.59,-2.89,-3.14","0.571,0.589,0.566,0.561",0,10,-3.762443438914027
BOTH,34,56,22,34,0.6071428571428571,8574,0.5619314205738278,-0.04521143656902926,-2.5318404478656404,-21708,3.0,1.0285747609050617,1.0000000000000009,-3.126865671641791,"-2.50,-1.62,-2.88,-3.13","0.562,0.578,0.556,0.551",0,10,-3.6561085972850678
BOTH,34,57,23,34,0.5964912280701754,8574,0.5492185677630045,-0.04727266030717092,-2.694541637508747,-23103,3.0,1.0285747609050617,1.0000000000000009,-3.2258516098926737,"-2.60,-1.87,-3.23,-3.08","0.551,0.564,0.540,0.542",0,10,-3.656072644721907
BOTH,34,58,24,34,0.5862068965517241,8574,0.5403545602985771,-0.045852336253147,-2.6594355026825287,-22802,3.0,1.0285747609050617,1.0000000000000009,-3.1875,"-2.38,-2.01,-3.06,-3.19","0.545,0.552,0.533,0.531",0,10,-3.579064587973274
