target,min_reclaim,max_entry,max_minute,exclude_hours,n,avg,win,avgwin,avgloss,pf,minq,q,poswk,weeks,minwk,acct,dd,avgsize
75,8,55,7,"(14,)",17,9.088235294117647,0.8235294117647058,22.357142857142858,-52.833333333333336,1.974763406940063,-1.5,"10.50,3.50,23.50,-1.50",6,8,-21.0,4370.0,-3069.0,29.176470588235293
90,0,50,10,"(14,)",29,9.086206896551724,0.6551724137931034,40.23684210526316,-50.1,1.5259481037924152,-12.214285714285714,"17.00,-12.21,13.21,17.21",4,10,-55.5,7472.0,-6302.0,34.758620689655174
95,0,50,10,"(14,)",29,9.086206896551724,0.6206896551724138,45.388888888888886,-50.31818181818182,1.4760614272809396,-10.071428571428571,"20.75,-10.07,16.79,7.21",5,10,-55.5,7204.0,-6450.0,36.3448275862069
75,4,50,8,"(20,)",19,9.078947368421053,0.7894736842105263,24.1,-47.25,1.9126984126984128,6.9,"11.90,6.90,8.90,8.50",6,10,-54.5,4187.0,-3650.0,31.05263157894737
80,4,50,8,"(12,)",19,9.078947368421053,0.7368421052631579,29.5,-48.1,1.7172557172557172,-20.7,"15.90,-20.70,29.50,12.25",5,9,-42.5,4217.5,-4012.0,28.789473684210527
80,0,50,8,"(20,)",26,9.076923076923077,0.7307692307692307,29.92105263157895,-47.5,1.7097744360902256,-5.785714285714286,"19.93,-5.79,15.33,7.50",6,10,-42.5,5974.0,-4177.0,34.53846153846154
95,0,50,8,"(20,)",26,9.076923076923077,0.6153846153846154,44.875,-48.2,1.4896265560165975,-3.8333333333333335,"32.79,2.79,-3.83,1.67",6,10,-45.5,5050.0,-8667.0,39.0
90,0,55,7,"(12,)",30,9.066666666666666,0.6666666666666666,38.1,-49.0,1.5551020408163265,-0.21428571428571427,"19.12,14.00,-0.21,1.21",7,10,-42.5,5974.0,-10172.0,38.0
95,0,47,10,"(18,)",22,9.045454545454545,0.5909090909090909,47.26923076923077,-46.166666666666664,1.4789410348977137,-1.5,"17.00,-1.50,8.30,12.90",6,10,-45.5,4083.5,-5477.5,34.77272727272727
75,0,50,10,"(12, 18)",26,9.038461538461538,0.7692307692307693,25.3,-45.166666666666664,1.867158671586716,-7.928571428571429,"16.50,-7.93,25.33,3.83",6,10,-42.5,6028.0,-3168.0,34.53846153846154
70,0,55,7,"(3,)",30,9.033333333333333,0.8666666666666667,18.076923076923077,-49.75,2.3618090452261304,-2.5,"11.38,8.50,-2.50,18.50",7,10,-42.5,8852.5,-3923.0,33.3
85,10,55,10,"(3, 12, 14, 18, 20)",15,9.033333333333333,0.7333333333333333,32.31818181818182,-55.0,1.615909090909091,-13.75,"15.75,-13.75,32.75,-1.17",5,8,-59.5,3630.5,-3949.0,27.8
70,0,50,6,"(3,)",19,9.026315789473685,0.8421052631578947,19.5625,-47.166666666666664,2.2120141342756185,4.9,"5.70,5.70,4.90,22.50",7,10,-54.5,4673.0,-1772.5,28.526315789473685
80,0,50,6,"(3,)",19,9.026315789473685,0.7368421052631579,29.428571428571427,-48.1,1.7130977130977132,-18.3,"13.70,-18.30,12.90,32.50",7,10,-54.5,4249.0,-3476.0,26.94736842105263
