model,edge,cost_low,cost_high,target_c,discovery_trades,discovery_avg_pnl_c,discovery_profit_factor,discovery_win_rate,discovery_yes_share,validation_trades,validation_avg_pnl_c,validation_profit_factor,validation_win_rate,validation_yes_share
p_kalshi_signal,0.09999999999999999,0.4,0.7,99,116,-0.5603448275862072,0.9762730425260084,0.5603448275862069,0.6551724137931034,101,-10.737623762376238,0.625,0.5445544554455446,0.2871287128712871
p_btc_signal,0.06,0.5,0.8,99,313,-0.6118210862619807,0.970417857418707,0.6837060702875399,0.6677316293929713,402,-2.5248756218905473,0.8789793728389174,0.7014925373134329,0.30845771144278605
p_hist_gb,0.049999999999999996,0.5,0.8,100,321,-0.6682242990654206,0.9686518085495067,0.6728971962616822,0.6822429906542056,358,-4.737430167597766,0.796752351848523,0.6675977653631285,0.33519553072625696
p_hist_gb,0.049999999999999996,0.6,0.9,100,221,-0.5452488687782805,0.9673795343800758,0.7828054298642534,0.7058823529411765,357,-6.19187675070028,0.7024498586620003,0.7310924369747899,0.3641456582633053
p_lightgbm,0.09999999999999999,0.4,0.7,100,175,-0.8828571428571429,0.963492438563327,0.5657142857142857,0.6971428571428572,136,3.110294117647059,1.1572783045175683,0.6838235294117647,0.2426470588235294
p_lightgbm,0.06,0.5,0.8,99,259,-0.8166023166023166,0.9612140106363469,0.6756756756756757,0.6872586872586872,337,-4.0044510385756675,0.8184325597040026,0.6824925816023739,0.3086053412462908
p_lightgbm,0.06,0.5,0.8,100,259,-0.9131274131274131,0.9576088904821652,0.667953667953668,0.6872586872586872,337,-3.9154302670623147,0.8259119994722607,0.6765578635014837,0.3086053412462908
p_hist_gb,0.09,0.5,0.8,99,117,-0.9615384615384616,0.9569213095921884,0.6495726495726496,0.6837606837606838,178,-4.426966292134831,0.806411988699177,0.6685393258426966,0.21910112359550563
p_hist_gb,0.06,0.6,0.9,99,145,-0.7275862068965516,0.9568683565004088,0.7793103448275862,0.7448275862068966,302,-7.4635761589403975,0.6487181485233383,0.7251655629139073,0.33112582781456956
p_btc_signal,0.06,0.6,0.9,99,196,-0.7346938775510201,0.956343792633015,0.7704081632653061,0.6785714285714286,364,-3.2554945054945055,0.8259272860815278,0.7554945054945055,0.32967032967032966
p_kalshi_signal,0.09999999999999999,0.4,0.7,90,116,-0.9482758620689655,0.9545172627661774,0.6120689655172413,0.6551724137931034,101,-10.292079207920793,0.5858565737051793,0.6039603960396039,0.2871287128712871
p_hist_gb,0.049999999999999996,0.5,0.8,99,321,-1.0327102803738317,0.9511494252873564,0.67601246105919,0.6822429906542056,358,-4.851955307262569,0.7881061299176578,0.6731843575418994,0.33519553072625696
p_hist_gb,0.09999999999999999,0.4,0.7,90,172,-1.063953488372093,0.9492442102343641,0.622093023255814,0.6627906976744186,132,-1.3030303030303025,0.9301664636622006,0.696969696969697,0.23484848484848486
p_lightgbm,0.09,0.4,0.7,100,213,-1.2417840375586855,0.9492273730684326,0.5633802816901409,0.6619718309859155,169,0.2869822485207099,1.0130534248418785,0.650887573964497,0.23668639053254437
p_lightgbm,0.09999999999999999,0.3,0.6,100,308,-1.2629870129870129,0.9491037550699987,0.461038961038961,0.724025974025974,69,-2.195652173913045,0.9109085563069685,0.5507246376811594,0.14492753623188406
p_hist_gb,0.09,0.5,0.8,100,117,-1.1666666666666667,0.9488380809595203,0.6410256410256411,0.6837606837606838,178,-4.882022471910112,0.7939537640782454,0.6573033707865169,0.21910112359550563
p_lightgbm,0.09,0.3,0.6,100,363,-1.334710743801653,0.9463811420982736,0.465564738292011,0.6859504132231405,88,-2.477272727272727,0.9014911884319927,0.5454545454545454,0.13636363636363635
p_btc_signal,0.06999999999999999,0.5,0.8,100,255,-1.268627450980392,0.9420198942557577,0.6666666666666666,0.7098039215686275,374,-3.4732620320855614,0.8427360774818402,0.6844919786096256,0.28342245989304815
p_lightgbm,0.09999999999999999,0.4,0.7,99,175,-1.4485714285714286,0.9400992438563327,0.5657142857142857,0.6971428571428572,136,2.426470588235294,1.1226993865030674,0.6838235294117647,0.2426470588235294
p_lightgbm,0.09999999999999999,0.5,0.8,100,100,-1.45,0.9365704286964129,0.64,0.77,178,2.6123595505617976,1.146364494806421,0.7415730337078652,0.23595505617977527
p_ensemble,0.039999999999999994,0.6,0.9,100,216,-1.0509259259259258,0.9361821759910036,0.7870370370370371,0.7962962962962963,406,-6.182266009852217,0.6990046768197625,0.7339901477832512,0.3448275862068966
p_lightgbm,0.09999999999999999,0.3,0.6,99,308,-1.724025974025974,0.9305246630904095,0.461038961038961,0.724025974025974,69,-2.746376811594204,0.8885621875918848,0.5507246376811594,0.14492753623188406
p_lightgbm,0.12999999999999998,0.3,0.6,100,164,-1.8353658536585367,0.9278090898189232,0.4451219512195122,0.7987804878048781,37,-13.95945945945946,0.5568425568425568,0.43243243243243246,0.13513513513513514
p_lightgbm,0.09,0.3,0.6,99,363,-1.800275482093664,0.9276781761841523,0.465564738292011,0.6859504132231405,88,-3.022727272727273,0.8798011748757343,0.5454545454545454,0.13636363636363635
p_btc_signal,0.039999999999999994,0.5,0.8,100,460,-1.5847826086956522,0.9271145770845831,0.6695652173913044,0.6434782608695652,459,-3.227668845315904,0.8527335984095428,0.6862745098039216,0.3289760348583878
p_lightgbm,0.09,0.4,0.7,99,213,-1.8051643192488263,0.9261925328726365,0.5633802816901409,0.6619718309859155,169,-0.3639053254437872,0.9834477190149374,0.650887573964497,0.23668639053254437
p_ensemble,0.09,0.3,0.6,100,210,-1.8761904761904762,0.9256323140807852,0.44761904761904764,0.7571428571428571,52,-2.5961538461538485,0.8953082590151221,0.5576923076923077,0.09615384615384616
p_lightgbm,0.06999999999999999,0.5,0.8,99,209,-1.6626794258373205,0.9237938596491229,0.6650717703349283,0.6842105263157895,301,-1.649501661129568,0.9194581880120042,0.7043189368770764,0.29900332225913623
p_btc_signal,0.09999999999999999,0.5,0.8,100,140,-1.8285714285714285,0.9208165790287659,0.6428571428571429,0.7714285714285715,292,-4.037671232876712,0.822346116175695,0.6746575342465754,0.2636986301369863
p_hist_gb,0.049999999999999996,0.6,0.9,99,221,-1.3280542986425339,0.9205468327016784,0.7828054298642534,0.7058823529411765,357,-5.813725490196078,0.7078406531531531,0.742296918767507,0.3641456582633053
